Date,Lieu,Ville,Type,Prix,Artiste,Image
1 avr. 2023,LE GALET,ST MARTIN DE CRAU,THEATRE - SEUL EN SCENE,21.0,COMING OUT,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
1 avr. 2023,CENTRE CULTUREL L'ODYSSEE,PUSIGNAN,THEATRE - COMEDIE,16.0,BLABLA DRIVE,https://static.ticketmaster.fr/static/images/vignettes/a_532485.gif
1 avr. 2023,SCENE BEAUSEJOUR,CHATELAILLON PLAGE,THEATRE - COMEDIE,35.0,LES CRAPAUDS FOUS,https://static.ticketmaster.fr/static/images/vignettes/a_530948.gif
1 au 2 avr. 2023,MALRAUX SCENE NATIONALE,CHAMBERY,THEATRE - THEATRE MUSICAL,10.0,FRANCOIS MOREL,https://static.ticketmaster.fr/static/images/vignettes/a_528155.gif
1 avr. 2023,LE THEATRE JACQUES COEUR,BOURGES,THEATRE - COMEDIE,30.2,GONFLEE A BLOC,https://static.ticketmaster.fr/static/images/vignettes/n_gonflee-bloc.gif
1 avr. 2023,AUXERREXPO,AUXERRE,THEATRE - COMEDIE,31.2,"""LARNAQUEUSE""",https://static.ticketmaster.fr/static/images/vignettes/n_l-arnaqueuse.gif
2 avr. 2023,THEATRE MUNICIPAL,BETHUNE,THEATRE - COMEDIE,25.0,LES HOMMES SONT CONS- LES FEMMES CASSE-COUILLES,https://static.ticketmaster.fr/static/images/vignettes/n_les-hommes-sont-cons.gif
2 au 5 avr. 2023,THEATRE LA PERGOLA,BORDEAUX,THEATRE - CONTE,14.0,LE PETIT CHAPERON ROUGE,https://static.ticketmaster.fr/static/images/vignettes/a_536357.gif
2 avr. 2023,FERME DES COMMUNES,SERRIS,THEATRE - THEATRE JEUNE PUBLIC,10.0,20 000 BULLES SOUS LES MERS,https://static.ticketmaster.fr/static/images/vignettes/a_530498.gif
2 avr. 2023,LE PARVIS,IBOS,THEATRE - AUTRES THEATRE,12.0,"""LORAGE""",https://static.ticketmaster.fr/static/images/vignettes/a_527995.gif
