Date,Lieu,Ville,Type,Prix,Artiste,Image
17 au 19 fevr. 2023,LE LIBERTE,RENNES,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
17 mars 2023,GALAXIE,AMNEVILLE LES THERMES,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,45.5,MESSMER,https://static.ticketmaster.fr/static/images/vignettes/n_messmer.gif
25 mars 2023,BOURSE DU TRAVAIL,LYON,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,19.0,PEPPA PIG,https://static.ticketmaster.fr/static/images/vignettes/n_peppa-pig-george-suzy.gif
7 avr. 2023,SALLE STEREDENN,SAINT-BRIEUC,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
15 oct. 2023,THEATRE SEBASTOPOL,LILLE,SPECTACLE ET COMEDIE MUSICALE - MAGIE,15.0,"""LACADEMIE DES SORCIERS""",https://static.ticketmaster.fr/static/images/vignettes/a_541870.gif
17 au 18 janv. 2023,PALAIS NIKAIA  DE NICE,NICE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
24 au 25 janv. 2023,ZENITH DE DIJON,DIJON,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
27 au 29 janv. 2023,ARENA DU PAYS D'AIX,AIX EN PROVENCE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
21 fevr. au 5 avr. 2023,CITE DES CONGRES,NANTES,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,69.0,SHEN YUN,https://static.ticketmaster.fr/static/images/vignettes/n_shen-yun.gif
10 au 11 janv. 2023,SUD DE FRANCE ARENA,PEROLS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
5 fevr. 2023,LE LIBERTE,RENNES,SPECTACLE ET COMEDIE MUSICALE - MAGIE,45.5,MESSMER,https://static.ticketmaster.fr/static/images/vignettes/n_messmer.gif
10 au 12 fevr. 2023,MACH 36,DEOLS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,45.0,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
25 fevr. 2023,LE COLISEE,CHALON SUR SAONE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,5.0,CARNABAND,https://static.ticketmaster.fr/static/images/vignettes/a_541792.gif
25 fevr. 2023,LE COLISEE,CHALON SUR SAONE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,5.0,CARNABAND,https://static.ticketmaster.fr/static/images/vignettes/a_541791.gif
7 avr. 2023,ZINGA ZANGA,BEZIERS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,45.0,SOY DE CUBA,https://static.ticketmaster.fr/static/images/vignettes/n_soy-de-cuba-viva-la-vida.gif
12 mai 2023,THEATRE SEBASTOPOL,LILLE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,LES FRANGLAISES,https://static.ticketmaster.fr/static/images/vignettes/n_les-franglaises.gif
28 janv. 2023,L'HERMIONE,SAINT-BRIEUC,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,19.0,PEPPA PIG,https://static.ticketmaster.fr/static/images/vignettes/n_peppa-pig-george-suzy.gif
10 fevr. 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,45.5,MESSMER,https://static.ticketmaster.fr/static/images/vignettes/n_messmer.gif
7 au 12 mars 2023,LE COLISEE,ROUBAIX,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,37.2,WEST SIDE STORY,https://static.ticketmaster.fr/static/images/vignettes/a_531169.gif
18 mars 2023,MAISON DE LA CULTURE,CLERMONT FERRAND,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,30.0,CHANTAL GOYA,https://static.ticketmaster.fr/static/images/vignettes/n_chantal-goya.gif
18 au 19 janv. 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,35.0,"""JE VAIS TAIMER""",https://static.ticketmaster.fr/static/images/vignettes/n_je-vais-t-aimer.gif
3 mars 2023,ZENITH ARENA LILLE,LILLE,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,40.5,MESSMER,https://static.ticketmaster.fr/static/images/vignettes/n_messmer.gif
9 au 10 dec. 2023,ARENA D'ORLEANS,ORLEANS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE EQUESTRE,35.0,LE CADRE NOIR DE SAUMUR,https://static.ticketmaster.fr/static/images/vignettes/a_540918.gif
13 janv. 2023,SALLE MARCEL SEMBAT,CHALON SUR SAONE,SPECTACLE ET COMEDIE MUSICALE - MAGIE,36.0,VIKTOR VINCENT,https://static.ticketmaster.fr/static/images/vignettes/n_viktor-vincent.gif
14 janv. 2023,PARC EXPO DE TOURS,TOURS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,35.0,"""JE VAIS TAIMER""",https://static.ticketmaster.fr/static/images/vignettes/n_je-vais-t-aimer.gif
15 janv. 2023,LE CORUM-OPERA BERLIOZ,MONTPELLIER,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,19.0,PEPPA PIG,https://static.ticketmaster.fr/static/images/vignettes/n_peppa-pig-george-suzy.gif
9 fevr. 2023,L'ACCLAMEUR,NIORT,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,36.0,THE WORLD OF QUEEN,https://static.ticketmaster.fr/static/images/vignettes/n_the-world-of-queen.gif
4 mars 2023,PALAIS DES CONGRES-LE MANS,LE MANS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,33.0,VIKTOR VINCENT,https://static.ticketmaster.fr/static/images/vignettes/n_viktor-vincent.gif
18 mars 2023,ARENA FUTUROSCOPE,CHASSENEUIL DU POITOU,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,45.0,"""JE VAIS TAIMER""",https://static.ticketmaster.fr/static/images/vignettes/n_je-vais-t-aimer.gif
11 au 12 avr. 2023,ZENITH DE ROUEN,LE GRAND QUEVILLY,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
18 nov. 2023,ZENITH SUD MONTPELLIER,MONTPELLIER,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,34.0,DISNEY 100 ANS,https://static.ticketmaster.fr/static/images/vignettes/n_disney-100-ans.gif
25 janv. au 11 fevr. 2024,CASINO DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,20.0,"""JE VAIS TAIMER""",https://static.ticketmaster.fr/static/images/vignettes/n_je-vais-t-aimer.gif
2 mars 2021 au 28 mars 2023,ZENITH TOULOUSE METROPOLE,TOULOUSE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,42.0,CELTIC LEGENDS,https://static.ticketmaster.fr/static/images/vignettes/a_483889.gif
2 oct. 2022 au 5 mars 2023,THEATRE DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,12.0,LE LIVRE DE LA JUNGLE- RUDYARD KIPLING,https://static.ticketmaster.fr/static/images/vignettes/a_522138.gif
