Date,Lieu,Ville,Type,Prix,Artiste,Image
8 fevr. 2023,ESPACE THEODORE GOUVY,FREYMING MERLEBACH,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,31.2,FABIEN OLICARD,https://static.ticketmaster.fr/static/images/vignettes/n_fabien-olicard.gif
8 au 9 fevr. 2023,THEATRE A L'OUEST,AURAY,HUMOUR ET ONE (WO)MAN SHOW - CAFE THEATRE,26.0,ELISABETH BUFFET,https://static.ticketmaster.fr/static/images/vignettes/n_elisabeth-buffet.gif
8 au 12 fevr. 2023,THEATRE A L'OUEST,ROUEN,HUMOUR ET ONE (WO)MAN SHOW - CAFE THEATRE,27.2,LA THERAPIE DE LA CONNERIE,https://static.ticketmaster.fr/static/images/vignettes/a_527270.gif
8 fevr. 2023,ZENITH DE DIJON,DIJON,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,36.0,INES REG,https://static.ticketmaster.fr/static/images/vignettes/n_ines-reg.gif
9 fevr. 2023,LE PONANT,PACE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,32.7,YASSINE BELATTAR,https://static.ticketmaster.fr/static/images/vignettes/a_540919.gif
9 fevr. 2023,THEATRE FEMINA,BORDEAUX,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,29.0,BDELKADER SECTEUR,https://static.ticketmaster.fr/static/images/vignettes/n_abdelkader-secteur.gif
9 fevr. 2023,CASINO DU VAL ANDRE,PLENEUF VAL ANDRE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,37.5,LA BAJON,https://static.ticketmaster.fr/static/images/vignettes/n_la-bajon.gif
9 fevr. 2023,ROYAL COMEDY CLUB,REIMS,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,17.0,LE MITCH,https://static.ticketmaster.fr/static/images/vignettes/a_536616.gif
9 au 11 fevr. 2023,COMEDIE BIS,MOUILLERON LE CAPTIF,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,16.0,RNAUD COSSON,https://static.ticketmaster.fr/static/images/vignettes/a_535702.gif
9 fevr. 2023,THEATRE 100 NOMS,NANTES,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,24.0,MORGANE CADIGNAN,https://static.ticketmaster.fr/static/images/vignettes/n_morgane-cadignan.gif
9 fevr. 2023,LE TRAM,MAIZIERES LES METZ,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,32.2,LE COMTE DE BOUDERBALA,https://static.ticketmaster.fr/static/images/vignettes/a_534463.gif
9 fevr. 2023,ROCKHAL CLUB,ESCH/ALZETTE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,46.5,HAROUN,https://static.ticketmaster.fr/static/images/vignettes/n_haroun.gif
9 fevr. 2023,L'AMPHY,YUTZ,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,43.0,FABIEN OLICARD,https://static.ticketmaster.fr/static/images/vignettes/n_fabien-olicard.gif
9 fevr. 2023,ESPACE BEAUMARCHAIS,MAROMME,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,31.2,FRANJO,https://static.ticketmaster.fr/static/images/vignettes/a_524374.gif
9 fevr. 2023,ESPACE AVEL-VOR,PLOUGASTEL DAOULAS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,36.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
9 fevr. 2023,CASINO,TOULOUSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,34.0,LAURA LAUNE,https://static.ticketmaster.fr/static/images/vignettes/n_laura-laune.gif
9 fevr. 2023,CITE DES CONGRES,NANTES,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,30.0,VINCENT DEDIENNE,https://static.ticketmaster.fr/static/images/vignettes/n_vincent-dedienne.gif
9 fevr. 2023,THEATRE LE RHONE,BOURG LES VALENCE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,THOMAS VDB,https://static.ticketmaster.fr/static/images/vignettes/n_thomas-vdb.gif
9 fevr. 2023,LA COMMANDERIE,DOLE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,30.0,BOODER,https://static.ticketmaster.fr/static/images/vignettes/n_booder-is-back.gif
9 fevr. 2023,PALAIS DES CONGRES-LE MANS,LE MANS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,37.0,JEREMY FERRARI,https://static.ticketmaster.fr/static/images/vignettes/n_jeremy-ferrari.gif
9 fevr. 2023,MICROPOLIS,BESANCON,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,36.0,INES REG,https://static.ticketmaster.fr/static/images/vignettes/n_ines-reg.gif
9 fevr. 2023,LE SPLENDID,ST QUENTIN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,29.0,PAUL MIRABEL,https://static.ticketmaster.fr/static/images/vignettes/n_paul-mirabel.gif
9 fevr. 2023,AINTEREXPO,BOURG EN BRESSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
10 fevr. 2023,SALLE MAURICE DROY,LE MESNIL-AMELOT,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,14.0,ERICK BAERT,https://static.ticketmaster.fr/static/images/vignettes/n_erick-baert.gif
10 fevr. 2023,MAISON DE LA CULTURE,CLERMONT FERRAND,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,33.0,MINE RADI,https://static.ticketmaster.fr/static/images/vignettes/n_amine-radi.gif
10 fevr. 2023,NOUVEAU SIECLE,LILLE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,29.2,GALA STAND-UP : COMME A MONTREUX !,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
10 fevr. 2023,La Cigale,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,29.0,STEPHANE GUILLON,https://static.ticketmaster.fr/static/images/vignettes/a_539338.gif
