Date,Lieu,Ville,Type,Prix,Artiste,Image
22 avr. 2023,CRAVEN COTTAGE,LONDON,SPORT - FOOTBALL,110.00,FULHAM,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
22 avr. 2023,SELHURST PARK,LONDON,SPORT - FOOTBALL,145.00,CRYSTAL PALACE,https://static.ticketmaster.fr/static/images/vignettes/s_24314.gif
22 avr. 2023,ANFIELD,LIVERPOOL,SPORT - FOOTBALL,1.050.00,LIVERPOOL,https://static.ticketmaster.fr/static/images/vignettes/s_24097.gif
22 avr. 2023,OLD TRAFFORD STADIUM,LONDON,SPORT - FOOTBALL,465.00,MANCHESTER UNITED,https://static.ticketmaster.fr/static/images/vignettes/s_24086.gif
22 avr. 2023,EMIRATES STADIUM,LONDON,SPORT - FOOTBALL,675.00,RSENAL,https://static.ticketmaster.fr/static/images/vignettes/s_23728.gif
22 avr. 2023,ACCOR ARENA,PARIS,SPORT - BASKET,195.00,COUPE DE FRANCE DE BASKET,https://static.ticketmaster.fr/static/images/vignettes/a_540886.gif
23 avr. 2023,STADE BOLLAERT-DELELIS,LENS,SPORT - FOOTBALL,19.00,S MONACO- RC LENS,https://static.ticketmaster.fr/static/images/vignettes/s_18514.gif
23 avr. 2023,SAN SIRO STADIUM,MILANO,SPORT - FOOTBALL,45.00,MILAN AC,https://static.ticketmaster.fr/static/images/vignettes/a_533126.gif
23 avr. 2023,STADE AUGUSTE DELAUNE,REIMS,SPORT - FOOTBALL,11.00,STADE DE REIMS- RC STRASBOURG ALSACE,https://static.ticketmaster.fr/static/images/vignettes/s_18836.gif
23 avr. 2023,STADE SANTIAGO BERNABEU,MADRID,SPORT - FOOTBALL,160.00,REAL MADRID CF,https://static.ticketmaster.fr/static/images/vignettes/s_15989.gif
23 avr. 2023,SPOTIFY CAMP NOU,BARCELONA,SPORT - FOOTBALL,185.00,FC BARCELONE,https://static.ticketmaster.fr/static/images/vignettes/s_15950.gif
25 avr. 2023,TOTTENHAM HOTSPUR STADIUM,LONDON,SPORT - FOOTBALL,425.00,TOTTENHAM HOTSPUR,https://static.ticketmaster.fr/static/images/vignettes/s_23758.gif
26 avr. 2023,STAMFORD BRIDGE STADIUM,LONDRES,SPORT - FOOTBALL,230.00,FC CHELSEA,https://static.ticketmaster.fr/static/images/vignettes/s_21523.gif
26 avr. 2023,WANDA METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,95.00,TLETICO MADRID,https://static.ticketmaster.fr/static/images/vignettes/s_21697.gif
