Date,Lieu,Ville,Type,Prix,Artiste,Image
24 au 25 mars 2023,ZENITH DE CAEN,CAEN,CONCERT - RAP HIP-HOP SLAM,38.0,SOPRANO,https://static.ticketmaster.fr/static/images/vignettes/n_soprano.gif
24 mars 2023,ESPACE AUMAILLERIE,FOUGERES,CONCERT - POP ROCK FOLK,40.0,CHRISTOPHE WILLEM,https://static.ticketmaster.fr/static/images/vignettes/n_christophe-willem.gif
24 mars 2023,THEATRE MUNICIPAL JEAN ALARY,CARCASSONNE,CONCERT - VARIETE ET CHANSON FRANCAISE,20.0,MANU KATCHE,https://static.ticketmaster.fr/static/images/vignettes/a_529211.gif
24 mars 2023,PIANO'CKTAIL VILLE DE BOUGUENAIS,BOUGUENAIS,CONCERT - MUSIQUE DU MONDE,23.0,LA CHICA,https://static.ticketmaster.fr/static/images/vignettes/a_529064.gif
24 mars 2023,L'ESPACE DE FORGES,FORGES LES EAUX,CONCERT - VARIETE ET CHANSON FRANCAISE,55.0,MARC LAVOINE,https://static.ticketmaster.fr/static/images/vignettes/n_marc-lavoine.gif
24 mars 2023,AUDITORIUM ESPACE MALRAUX,JOUE LES TOURS,CONCERT - MUSIQUE DE FILMS,40.0,CAMILLE ET JULIE BERTHOLLET,https://static.ticketmaster.fr/static/images/vignettes/n_camille-et-julie-berthollet.gif
24 mars 2023,AUDITORIUM DE MEGACITE,AMIENS,CONCERT - VARIETE ET CHANSON FRANCAISE,40.0,LA PROMESSE BREL,https://static.ticketmaster.fr/static/images/vignettes/n_la-promesse-brel.gif
24 mars 2023,THEATRE DE DENAIN,DENAIN,CONCERT - VARIETE ET CHANSON FRANCAISE,43.0,ROCH VOISINE,https://static.ticketmaster.fr/static/images/vignettes/n_roch-voisine.gif
24 mars 2023,Le Bataclan,PARIS,CONCERT - POP ROCK FOLK,31.8,BLACKBERRY SMOKE,https://static.ticketmaster.fr/static/images/vignettes/a_502379.gif
25 mars 2023,LE SEMAPHORE,TREBEUDEN,CONCERT - MUSIQUE DU MONDE,13.0,BAB ASSALAM,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
